geo_code,geo_level,area,sex,literacy,total
160,district,Rural,Male,Literate,506915
160,district,Urban,Male,Literate,96681
161,district,Rural,Male,Literate,477378
161,district,Urban,Male,Literate,146205
162,district,Rural,Male,Literate,449437
162,district,Urban,Male,Literate,96761
163,district,Rural,Male,Literate,625151
163,district,Urban,Male,Literate,67813
164,district,Rural,Male,Literate,594367
164,district,Urban,Male,Literate,1234812
165,district,Rural,Male,Literate,489075
165,district,Urban,Male,Literate,164355
166,district,Rural,Male,Literate,439201
166,district,Urban,Male,Literate,344504
167,district,Rural,Male,Literate,327392
167,district,Urban,Male,Literate,70194
168,district,Rural,Male,Literate,324610
168,district,Urban,Male,Literate,83515
169,district,Rural,Male,Literate,232584
169,district,Urban,Male,Literate,69699
170,district,Rural,Male,Literate,519162
170,district,Urban,Male,Literate,111464
171,district,Rural,Male,Literate,293502
171,district,Urban,Male,Literate,36837
172,district,Rural,Male,Literate,790476
172,district,Urban,Male,Literate,120527
173,district,Rural,Male,Literate,1053356
173,district,Urban,Male,Literate,68025
174,district,Rural,Male,Literate,464180
174,district,Urban,Male,Literate,43099
175,district,Rural,Male,Literate,1587083
175,district,Urban,Male,Literate,612257
176,district,Rural,Male,Literate,899301
176,district,Urban,Male,Literate,111217
177,district,Rural,Male,Literate,703072
177,district,Urban,Male,Literate,135267
178,district,Rural,Male,Literate,743063
178,district,Urban,Male,Literate,103613
179,district,Rural,Male,Literate,1219195
179,district,Urban,Male,Literate,81053
180,district,Rural,Male,Literate,785971
180,district,Urban,Male,Literate,92314
181,district,Rural,Male,Literate,264837
181,district,Urban,Male,Literate,11863
182,district,Rural,Male,Literate,491213
182,district,Urban,Male,Literate,53730
183,district,Rural,Male,Literate,950247
183,district,Urban,Male,Literate,83934
184,district,Rural,Male,Literate,685236
184,district,Urban,Male,Literate,55482
185,district,Rural,Male,Literate,763479
185,district,Urban,Male,Literate,56240
186,district,Rural,Male,Literate,519871
186,district,Urban,Male,Literate,47227
187,district,Rural,Male,Literate,829484
187,district,Urban,Male,Literate,52190
188,district,Rural,Male,Literate,1250910
188,district,Urban,Male,Literate,342980
189,district,Rural,Male,Literate,1121845
189,district,Urban,Male,Literate,61877
190,district,Rural,Male,Literate,955289
190,district,Urban,Male,Literate,123999
191,district,Rural,Male,Literate,1416457
191,district,Urban,Male,Literate,142957
192,district,Rural,Male,Literate,593606
