,,State,District,Level,Name,TRU,Total,sex,literacy type
Level,289,7,90,DISTRICT,North West,Rural,87043,Male,Literate
Level,290,7,90,DISTRICT,North West,Urban,1454909,Male,Literate
Level,292,7,91,DISTRICT,North,Rural,7700,Male,Literate
Level,293,7,91,DISTRICT,North,Urban,373915,Male,Literate
Level,295,7,92,DISTRICT,North East,Rural,8515,Male,Literate
Level,296,7,92,DISTRICT,North East,Urban,903966,Male,Literate
Level,298,7,93,DISTRICT,East,Rural,1583,Male,Literate
Level,299,7,93,DISTRICT,East,Urban,746799,Male,Literate
Level,301,7,94,DISTRICT,New Delhi,Rural,0,Male,Literate
Level,302,7,94,DISTRICT,New Delhi,Urban,65678,Male,Literate
Level,304,7,95,DISTRICT,Central,Rural,0,Male,Literate
Level,305,7,95,DISTRICT,Central,Urban,240518,Male,Literate
Level,307,7,96,DISTRICT,West,Rural,2563,Male,Literate
Level,308,7,96,DISTRICT,West,Urban,1091370,Male,Literate
Level,310,7,97,DISTRICT,South West,Rural,61887,Male,Literate
Level,311,7,97,DISTRICT,South West,Urban,963374,Male,Literate
Level,313,7,98,DISTRICT,South,Rural,5036,Male,Literate
Level,314,7,98,DISTRICT,South,Urban,1180000,Male,Literate
Level,316,8,0,STATE,RAJASTHAN,Rural,16904589,Male,Literate
Level,317,8,0,STATE,RAJASTHAN,Urban,6783823,Male,Literate
Level,319,8,99,DISTRICT,Ganganagar,Rural,496935,Male,Literate
Level,320,8,99,DISTRICT,Ganganagar,Urban,213973,Male,Literate
Level,322,8,100,DISTRICT,Hanumangarh,Rural,490362,Male,Literate
Level,323,8,100,DISTRICT,Hanumangarh,Urban,133919,Male,Literate
Level,325,8,101,DISTRICT,Bikaner,Rural,471918,Male,Literate
Level,326,8,101,DISTRICT,Bikaner,Urban,310481,Male,Literate
Level,328,8,102,DISTRICT,Churu,Rural,486256,Male,Literate
Level,329,8,102,DISTRICT,Churu,Urban,210473,Male,Literate
Level,331,8,103,DISTRICT,Jhunjhunun,Rural,625672,Male,Literate
Level,332,8,103,DISTRICT,Jhunjhunun,Urban,190162,Male,Literate
Level,334,8,104,DISTRICT,Alwar,Rural,1083730,Male,Literate
Level,335,8,104,DISTRICT,Alwar,Urban,276099,Male,Literate
Level,337,8,105,DISTRICT,Bharatpur,Rural,745044,Male,Literate
Level,338,8,105,DISTRICT,Bharatpur,Urban,198866,Male,Literate
Level,340,8,106,DISTRICT,Dhaulpur,Rural,344607,Male,Literate
Level,341,8,106,DISTRICT,Dhaulpur,Urban,91114,Male,Literate
Level,343,8,107,DISTRICT,Karauli,Rural,449812,Male,Literate
Level,344,8,107,DISTRICT,Karauli,Urban,82092,Male,Literate
Level,346,8,108,DISTRICT,Sawai Madhopur,Rural,378253,Male,Literate
Level,347,8,108,DISTRICT,Sawai Madhopur,Urban,107931,Male,Literate
Level,349,8,109,DISTRICT,Dausa,Rural,513738,Male,Literate
Level,350,8,109,DISTRICT,Dausa,Urban,83197,Male,Literate
Level,352,8,110,DISTRICT,Jaipur,Rural,1142333,Male,Literate
Level,353,8,110,DISTRICT,Jaipur,Urban,1412460,Male,Literate
Level,355,8,111,DISTRICT,Sikar,Rural,754783,Male,Literate
Level,356,8,111,DISTRICT,Sikar,Urban,240492,Male,Literate
Level,358,8,112,DISTRICT,Nagaur,Rural,875237,Male,Literate
Level,359,8,112,DISTRICT,Nagaur,Urban,227513,Male,Literate
Level,361,8,113,DISTRICT,Jodhpur,Rural,765699,Male,Literate
Level,362,8,113,DISTRICT,Jodhpur,Urban,500054,Male,Literate
Level,364,8,114,DISTRICT,Jaisalmer,Rural,173353,Male,Literate
Level,365,8,114,DISTRICT,Jaisalmer,Urban,37062,Male,Literate
Level,367,8,115,DISTRICT,Barmer,Rural,710875,Male,Literate
Level,368,8,115,DISTRICT,Barmer,Urban,72586,Male,Literate
Level,370,8,116,DISTRICT,Jalor,Rural,487407,Male,Literate
Level,371,8,116,DISTRICT,Jalor,Urban,56516,Male,Literate
Level,373,8,117,DISTRICT,Sirohi,Rural,224113,Male,Literate
Level,374,8,117,DISTRICT,Sirohi,Urban,85787,Male,Literate
Level,376,8,118,DISTRICT,Pali,Rural,488897,Male,Literate
Level,377,8,118,DISTRICT,Pali,Urban,178484,Male,Literate
Level,379,8,119,DISTRICT,Ajmer,Rural,501770,Male,Literate
Level,380,8,119,DISTRICT,Ajmer,Urban,424498,Male,Literate
Level,382,8,120,DISTRICT,Tonk,Rural,364531,Male,Literate
Level,383,8,120,DISTRICT,Tonk,Urban,113798,Male,Literate
Level,385,8,121,DISTRICT,Bundi,Rural,283572,Male,Literate
Level,386,8,121,DISTRICT,Bundi,Urban,88133,Male,Literate
Level,388,8,122,DISTRICT,Bhilwara,Rural,572895,Male,Literate
Level,389,8,122,DISTRICT,Bhilwara,Urban,204687,Male,Literate
Level,391,8,123,DISTRICT,Rajsamand,Rural,308438,Male,Literate
Level,392,8,123,DISTRICT,Rajsamand,Urban,74896,Male,Literate
Level,394,8,124,DISTRICT,Dungarpur,Rural,379571,Male,Literate
Level,395,8,124,DISTRICT,Dungarpur,Urban,36249,Male,Literate
Level,397,8,125,DISTRICT,Banswara,Rural,462325,Male,Literate
Level,398,8,125,DISTRICT,Banswara,Urban,51529,Male,Literate
Level,400,8,126,DISTRICT,Chittaurgarh,Rural,398512,Male,Literate
Level,401,8,126,DISTRICT,Chittaurgarh,Urban,116339,Male,Literate
Level,403,8,127,DISTRICT,Kota,Rural,283078,Male,Literate
Level,404,8,127,DISTRICT,Kota,Urban,482318,Male,Literate
Level,406,8,128,DISTRICT,Baran,Rural,332591,Male,Literate
Level,407,8,128,DISTRICT,Baran,Urban,100016,Male,Literate
Level,409,8,129,DISTRICT,Jhalawar,Rural,375242,Male,Literate
Level,410,8,129,DISTRICT,Jhalawar,Urban,91573,Male,Literate
Level,412,8,130,DISTRICT,Udaipur,Rural,712379,Male,Literate
