,,State,District,Level,Name,TRU,Total,sex
Level,317,8,0,STATE,RAJASTHAN,Urban,8909250,Male
Level,319,8,99,DISTRICT,Ganganagar,Rural,758269,Male
Level,320,8,99,DISTRICT,Ganganagar,Urban,285071,Male
Level,322,8,100,DISTRICT,Hanumangarh,Rural,746887,Male
Level,323,8,100,DISTRICT,Hanumangarh,Urban,184297,Male
Level,325,8,101,DISTRICT,Bikaner,Rural,821434,Male
Level,326,8,101,DISTRICT,Bikaner,Urban,419367,Male
Level,328,8,102,DISTRICT,Churu,Rural,755028,Male
Level,329,8,102,DISTRICT,Churu,Urban,296418,Male
Level,331,8,103,DISTRICT,Jhunjhunun,Rural,842718,Male
Level,332,8,103,DISTRICT,Jhunjhunun,Urban,253178,Male
Level,334,8,104,DISTRICT,Alwar,Rural,1589508,Male
Level,335,8,104,DISTRICT,Alwar,Urban,349518,Male
Level,337,8,105,DISTRICT,Bharatpur,Rural,1093357,Male
Level,338,8,105,DISTRICT,Bharatpur,Urban,262369,Male
Level,340,8,106,DISTRICT,Dhaulpur,Rural,520930,Male
Level,341,8,106,DISTRICT,Dhaulpur,Urban,132717,Male
Level,343,8,107,DISTRICT,Karauli,Rural,668185,Male
Level,344,8,107,DISTRICT,Karauli,Urban,115454,Male
Level,346,8,108,DISTRICT,Sawai Madhopur,Rural,564592,Male
Level,347,8,108,DISTRICT,Sawai Madhopur,Urban,139439,Male
Level,349,8,109,DISTRICT,Dausa,Rural,751900,Male
Level,350,8,109,DISTRICT,Dausa,Urban,105887,Male
Level,352,8,110,DISTRICT,Jaipur,Rural,1642924,Male
Level,353,8,110,DISTRICT,Jaipur,Urban,1825583,Male
Level,355,8,111,DISTRICT,Sikar,Rural,1047469,Male
Level,356,8,111,DISTRICT,Sikar,Urban,327521,Male
Level,358,8,112,DISTRICT,Nagaur,Rural,1368771,Male
Level,359,8,112,DISTRICT,Nagaur,Urban,327554,Male
Level,361,8,113,DISTRICT,Jodhpur,Rural,1260328,Male
Level,362,8,113,DISTRICT,Jodhpur,Urban,663600,Male
Level,364,8,114,DISTRICT,Jaisalmer,Rural,312447,Male
Level,365,8,114,DISTRICT,Jaisalmer,Urban,49261,Male
Level,367,8,115,DISTRICT,Barmer,Rural,1273249,Male
Level,368,8,115,DISTRICT,Barmer,Urban,95773,Male
Level,370,8,116,DISTRICT,Jalor,Rural,857619,Male
Level,371,8,116,DISTRICT,Jalor,Urban,79015,Male
Level,373,8,117,DISTRICT,Sirohi,Rural,424252,Male
Level,374,8,117,DISTRICT,Sirohi,Urban,109979,Male
Level,376,8,118,DISTRICT,Pali,Rural,787559,Male
Level,377,8,118,DISTRICT,Pali,Urban,237863,Male
Level,379,8,119,DISTRICT,Ajmer,Rural,789397,Male
Level,380,8,119,DISTRICT,Ajmer,Urban,534688,Male
Level,382,8,120,DISTRICT,Tonk,Rural,568045,Male
Level,383,8,120,DISTRICT,Tonk,Urban,160091,Male
Level,385,8,121,DISTRICT,Bundi,Rural,461734,Male
Level,386,8,121,DISTRICT,Bundi,Urban,115426,Male
Level,388,8,122,DISTRICT,Bhilwara,Rural,955378,Male
Level,389,8,122,DISTRICT,Bhilwara,Urban,265358,Male
Level,391,8,123,DISTRICT,Rajsamand,Rural,486960,Male
Level,392,8,123,DISTRICT,Rajsamand,Urban,94379,Male
Level,394,8,124,DISTRICT,Dungarpur,Rural,651046,Male
Level,395,8,124,DISTRICT,Dungarpur,Urban,45486,Male
Level,397,8,125,DISTRICT,Banswara,Rural,842767,Male
Level,398,8,125,DISTRICT,Banswara,Urban,64987,Male
Level,400,8,126,DISTRICT,Chittaurgarh,Rural,636415,Male
Level,401,8,126,DISTRICT,Chittaurgarh,Urban,146756,Male
Level,403,8,127,DISTRICT,Kota,Rural,401331,Male
Level,404,8,127,DISTRICT,Kota,Urban,619830,Male
Level,406,8,128,DISTRICT,Baran,Rural,502228,Male
Level,407,8,128,DISTRICT,Baran,Urban,131717,Male
Level,409,8,129,DISTRICT,Jhalawar,Rural,606533,Male
Level,410,8,129,DISTRICT,Jhalawar,Urban,118610,Male
Level,412,8,130,DISTRICT,Udaipur,Rural,1251316,Male
