,,State,District,Level,Name,TRU,Total,sex
Level,1898,32,601,DISTRICT,Thiruvananthapuram,Urban,856814,Male
Level,1900,33,0,STATE,TAMIL NADU,Rural,18679065,Male
Level,1901,33,0,STATE,TAMIL NADU,Urban,17458910,Male
Level,1903,33,602,DISTRICT,Thiruvallur,Rural,650462,Male
Level,1904,33,602,DISTRICT,Thiruvallur,Urban,1225600,Male
Level,1906,33,603,DISTRICT,Chennai,Rural,0,Male
Level,1907,33,603,DISTRICT,Chennai,Urban,2335844,Male
Level,1909,33,604,DISTRICT,Kancheepuram,Rural,734979,Male
Level,1910,33,604,DISTRICT,Kancheepuram,Urban,1277979,Male
Level,1912,33,605,DISTRICT,Vellore,Rural,1117101,Male
Level,1913,33,605,DISTRICT,Vellore,Urban,844587,Male
Level,1915,33,606,DISTRICT,Tiruvannamalai,Rural,989726,Male
Level,1916,33,606,DISTRICT,Tiruvannamalai,Urban,246163,Male
Level,1918,33,607,DISTRICT,Viluppuram,Rural,1481475,Male
Level,1919,33,607,DISTRICT,Viluppuram,Urban,259344,Male
Level,1921,33,608,DISTRICT,Salem,Rural,883274,Male
Level,1922,33,608,DISTRICT,Salem,Urban,898297,Male
Level,1924,33,609,DISTRICT,Namakkal,Rural,520684,Male
Level,1925,33,609,DISTRICT,Namakkal,Urban,348596,Male
Level,1927,33,610,DISTRICT,Erode,Rural,552393,Male
Level,1928,33,610,DISTRICT,Erode,Urban,577475,Male
Level,1930,33,611,DISTRICT,The Nilgiris,Rural,145909,Male
Level,1931,33,611,DISTRICT,The Nilgiris,Urban,214234,Male
Level,1933,33,612,DISTRICT,Dindigul,Rural,678605,Male
Level,1934,33,612,DISTRICT,Dindigul,Urban,402333,Male
Level,1936,33,613,DISTRICT,Karur,Rural,312628,Male
Level,1937,33,613,DISTRICT,Karur,Urban,215556,Male
Level,1939,33,614,DISTRICT,Tiruchirappalli,Rural,688552,Male
Level,1940,33,614,DISTRICT,Tiruchirappalli,Urban,663732,Male
Level,1942,33,615,DISTRICT,Perambalur,Rural,233926,Male
Level,1943,33,615,DISTRICT,Perambalur,Urban,48231,Male
Level,1945,33,616,DISTRICT,Ariyalur,Rural,333253,Male
Level,1946,33,616,DISTRICT,Ariyalur,Urban,41450,Male
Level,1948,33,617,DISTRICT,Cuddalore,Rural,868861,Male
Level,1949,33,617,DISTRICT,Cuddalore,Urban,442836,Male
Level,1951,33,618,DISTRICT,Nagapattinam,Rural,619369,Male
Level,1952,33,618,DISTRICT,Nagapattinam,Urban,178758,Male
Level,1954,33,619,DISTRICT,Thiruvarur,Rural,499954,Male
Level,1955,33,619,DISTRICT,Thiruvarur,Urban,126739,Male
Level,1957,33,620,DISTRICT,Thanjavur,Rural,765177,Male
Level,1958,33,620,DISTRICT,Thanjavur,Urban,417239,Male
Level,1960,33,621,DISTRICT,Pudukkottai,Rural,645505,Male
Level,1961,33,621,DISTRICT,Pudukkottai,Urban,157683,Male
Level,1963,33,622,DISTRICT,Sivaganga,Rural,462210,Male
Level,1964,33,622,DISTRICT,Sivaganga,Urban,206462,Male
Level,1966,33,623,DISTRICT,Madurai,Rural,601247,Male
Level,1967,33,623,DISTRICT,Madurai,Urban,925228,Male
Level,1969,33,624,DISTRICT,Theni,Rural,290880,Male
Level,1970,33,624,DISTRICT,Theni,Urban,334803,Male
Level,1972,33,625,DISTRICT,Virudhunagar,Rural,480360,Male
Level,1973,33,625,DISTRICT,Virudhunagar,Urban,487349,Male
Level,1975,33,626,DISTRICT,Ramanathapuram,Rural,474508,Male
Level,1976,33,626,DISTRICT,Ramanathapuram,Urban,208150,Male
Level,1978,33,627,DISTRICT,Thoothukkudi,Rural,430361,Male
Level,1979,33,627,DISTRICT,Thoothukkudi,Urban,434660,Male
Level,1981,33,628,DISTRICT,Tirunelveli,Rural,768728,Male
Level,1982,33,628,DISTRICT,Tirunelveli,Urban,752184,Male
Level,1984,33,629,DISTRICT,Kanniyakumari,Rural,164938,Male
Level,1985,33,629,DISTRICT,Kanniyakumari,Urban,761407,Male
Level,1987,33,630,DISTRICT,Dharmapuri,Rural,643215,Male
Level,1988,33,630,DISTRICT,Dharmapuri,Urban,131088,Male
Level,1990,33,631,DISTRICT,Krishnagiri,Rural,742444,Male
Level,1991,33,631,DISTRICT,Krishnagiri,Urban,217788,Male
Level,1993,33,632,DISTRICT,Coimbatore,Rural,419032,Male
Level,1994,33,632,DISTRICT,Coimbatore,Urban,1310265,Male
Level,1996,33,633,DISTRICT,Tiruppur,Rural,479309,Male
Level,1997,33,633,DISTRICT,Tiruppur,Urban,766850,Male
Level,1999,34,0,STATE,PUDUCHERRY,Rural,194907,Male
Level,2000,34,0,STATE,PUDUCHERRY,Urban,417604,Male
Level,2002,34,634,DISTRICT,Yanam,Rural,0,Male
Level,2003,34,634,DISTRICT,Yanam,Urban,27301,Male
Level,2005,34,635,DISTRICT,Puducherry,Rural,144769,Male
Level,2006,34,635,DISTRICT,Puducherry,Urban,323489,Male
Level,2008,34,636,DISTRICT,Mahe,Rural,0,Male
Level,2009,34,636,DISTRICT,Mahe,Urban,19143,Male
Level,2011,34,637,DISTRICT,Karaikal,Rural,50138,Male
Level,2012,34,637,DISTRICT,Karaikal,Urban,47671,Male
Level,2014,35,0,STATE,ANDAMAN & NICOBAR ISLANDS,Rural,126287,Male
Level,2015,35,0,STATE,ANDAMAN & NICOBAR ISLANDS,Urban,76584,Male
Level,2017,35,638,DISTRICT,Nicobars,Rural,20727,Male
Level,2018,35,638,DISTRICT,Nicobars,Urban,0,Male
Level,2020,35,639,DISTRICT,North  & Middle Andaman,Rural,53457,Male
Level,2021,35,639,DISTRICT,North  & Middle Andaman,Urban,1404,Male
Level,2023,35,640,DISTRICT,South Andaman,Rural,52103,Male
Level,2024,35,640,DISTRICT,South Andaman,Urban,75180,Male
Name,1,1,0,STATE,JAMMU & KASHMIR,Rural,4333583,Female
Name,2,1,0,STATE,JAMMU & KASHMIR,Urban,1567057,Female
Name,4,1,1,DISTRICT,Kupwara,Rural,353587,Female
Name,5,1,1,DISTRICT,Kupwara,Urban,42577,Female
Name,7,1,2,DISTRICT,Badgam,Rural,312448,Female
Name,8,1,2,DISTRICT,Badgam,Urban,43256,Female
Name,10,1,3,DISTRICT,Leh(Ladakh),Rural,39405,Female
Name,11,1,3,DISTRICT,Leh(Ladakh),Urban,15111,Female
Name,13,1,4,DISTRICT,Kargil,Rural,56761,Female
Name,14,1,4,DISTRICT,Kargil,Urban,6256,Female
Name,16,1,5,DISTRICT,Punch,Rural,208431,Female
Name,17,1,5,DISTRICT,Punch,Urban,16505,Female
Name,19,1,6,DISTRICT,Rajouri,Rural,279353,Female
Name,20,1,6,DISTRICT,Rajouri,Urban,17711,Female
Name,22,1,7,DISTRICT,Kathua,Rural,248596,Female
Name,23,1,7,DISTRICT,Kathua,Urban,41730,Female
Name,25,1,8,DISTRICT,Baramula,Rural,393140,Female
Name,26,1,8,DISTRICT,Baramula,Urban,80166,Female
Name,28,1,9,DISTRICT,Bandipore,Rural,154608,Female
Name,29,1,9,DISTRICT,Bandipore,Urban,29944,Female
Name,31,1,10,DISTRICT,Srinagar,Rural,8397,Female
Name,32,1,10,DISTRICT,Srinagar,Urban,577308,Female
Name,34,1,11,DISTRICT,Ganderbal,Rural,116692,Female
Name,35,1,11,DISTRICT,Ganderbal,Urban,22034,Female
Name,37,1,12,DISTRICT,Pulwama,Rural,231882,Female
Name,38,1,12,DISTRICT,Pulwama,Urban,35494,Female
Name,40,1,13,DISTRICT,Shupiyan,Rural,122694,Female
Name,41,1,13,DISTRICT,Shupiyan,Urban,7041,Female
Name,43,1,14,DISTRICT,Anantnag,Rural,384793,Female
Name,44,1,14,DISTRICT,Anantnag,Urban,134132,Female
Name,46,1,15,DISTRICT,Kulgam,Rural,168296,Female
Name,47,1,15,DISTRICT,Kulgam,Urban,38567,Female
Name,49,1,16,DISTRICT,Doda,Rural,181817,Female
Name,50,1,16,DISTRICT,Doda,Urban,14478,Female
Name,52,1,17,DISTRICT,Ramban,Rural,129585,Female
Name,53,1,17,DISTRICT,Ramban,Urban,4996,Female
Name,55,1,18,DISTRICT,Kishtwar,Rural,103845,Female
Name,56,1,18,DISTRICT,Kishtwar,Urban,6686,Female
Name,58,1,19,DISTRICT,Udhampur,Rural,213803,Female
Name,59,1,19,DISTRICT,Udhampur,Urban,44398,Female
Name,61,1,20,DISTRICT,Reasi,Rural,136190,Female
Name,62,1,20,DISTRICT,Reasi,Urban,12016,Female
Name,64,1,21,DISTRICT,Jammu,Rural,363342,Female
Name,65,1,21,DISTRICT,Jammu,Urban,352795,Female
Name,67,1,22,DISTRICT,Samba,Rural,125918,Female
Name,68,1,22,DISTRICT,Samba,Urban,23856,Female
Name,70,2,0,STATE,HIMACHAL PRADESH,Rural,3065705,Female
Name,71,2,0,STATE,HIMACHAL PRADESH,Urban,317024,Female
Name,73,2,23,DISTRICT,Chamba,Rural,241009,Female
Name,74,2,23,DISTRICT,Chamba,Urban,16751,Female
Name,76,2,24,DISTRICT,Kangra,Rural,718429,Female
Name,77,2,24,DISTRICT,Kangra,Urban,41055,Female
Name,79,2,25,DISTRICT,Lahul & Spiti,Rural,14976,Female
Name,80,2,25,DISTRICT,Lahul & Spiti,Urban,0,Female
Name,82,2,26,DISTRICT,Kullu,Rural,193243,Female
Name,83,2,26,DISTRICT,Kullu,Urban,19208,Female
Name,85,2,27,DISTRICT,Mandi,Rural,471090,Female
Name,86,2,27,DISTRICT,Mandi,Urban,30622,Female
Name,88,2,28,DISTRICT,Hamirpur,Rural,222590,Female
Name,89,2,28,DISTRICT,Hamirpur,Urban,15108,Female
Name,91,2,29,DISTRICT,Una,Rural,236006,Female
Name,92,2,29,DISTRICT,Una,Urban,21475,Female
Name,94,2,30,DISTRICT,Bilaspur,Rural,177174,Female
Name,95,2,30,DISTRICT,Bilaspur,Urban,12018,Female
Name,97,2,31,DISTRICT,Solan,Rural,228437,Female
Name,98,2,31,DISTRICT,Solan,Urban,43129,Female
Name,100,2,32,DISTRICT,Sirmaur,Rural,226515,Female
Name,101,2,32,DISTRICT,Sirmaur,Urban,27051,Female
Name,103,2,33,DISTRICT,Shimla,Rural,298364,Female
Name,104,2,33,DISTRICT,Shimla,Urban,90607,Female
Name,106,2,34,DISTRICT,Kinnaur,Rural,37872,Female
Name,107,2,34,DISTRICT,Kinnaur,Urban,0,Female
Name,109,3,0,STATE,PUNJAB,Rural,8250716,Female
Name,110,3,0,STATE,PUNJAB,Urban,4853157,Female
Name,112,3,35,DISTRICT,Gurdaspur,Rural,783220,Female
Name,113,3,35,DISTRICT,Gurdaspur,Urban,302486,Female
Name,115,3,36,DISTRICT,Kapurthala,Rural,256774,Female
Name,116,3,36,DISTRICT,Kapurthala,Urban,132083,Female
Name,118,3,37,DISTRICT,Jalandhar,Rural,503629,Female
Name,119,3,37,DISTRICT,Jalandhar,Urban,544750,Female
Name,121,3,38,DISTRICT,Hoshiarpur,Rural,617186,Female
Name,122,3,38,DISTRICT,Hoshiarpur,Urban,160382,Female
Name,124,3,39,DISTRICT,Shahid Bhagat Singh Nagar,Rural,238776,Female
Name,125,3,39,DISTRICT,Shahid Bhagat Singh Nagar,Urban,60243,Female
Name,127,3,40,DISTRICT,Fatehgarh Sahib,Rural,194631,Female
Name,128,3,40,DISTRICT,Fatehgarh Sahib,Urban,84737,Female
Name,130,3,41,DISTRICT,Ludhiana,Rural,675587,Female
Name,131,3,41,DISTRICT,Ludhiana,Urban,955336,Female
Name,133,3,42,DISTRICT,Moga,Rural,362796,Female
Name,134,3,42,DISTRICT,Moga,Urban,107030,Female
Name,136,3,43,DISTRICT,Firozpur,Rural,700310,Female
Name,137,3,43,DISTRICT,Firozpur,Urban,257127,Female
Name,139,3,44,DISTRICT,Muktsar,Rural,307503,Female
Name,140,3,44,DISTRICT,Muktsar,Urban,118771,Female
Name,142,3,45,DISTRICT,Faridkot,Rural,189675,Female
Name,143,3,45,DISTRICT,Faridkot,Urban,101162,Female
Name,145,3,46,DISTRICT,Bathinda,Rural,414824,Female
Name,146,3,46,DISTRICT,Bathinda,Urban,230504,Female
Name,148,3,47,DISTRICT,Mansa,Rural,283963,Female
Name,149,3,47,DISTRICT,Mansa,Urban,77056,Female
Name,151,3,48,DISTRICT,Patiala,Rural,533606,Female
Name,152,3,48,DISTRICT,Patiala,Urban,359558,Female
Name,154,3,49,DISTRICT,Amritsar,Rural,548779,Female
Name,155,3,49,DISTRICT,Amritsar,Urban,623469,Female
Name,157,3,50,DISTRICT,Tarn Taran,Rural,463510,Female
Name,158,3,50,DISTRICT,Tarn Taran,Urban,66748,Female
Name,160,3,51,DISTRICT,Rupnagar,Rural,242731,Female
Name,161,3,51,DISTRICT,Rupnagar,Urban,84411,Female
Name,163,3,52,DISTRICT,Sahibzada Ajit Singh Nagar,Rural,209033,Female
Name,164,3,52,DISTRICT,Sahibzada Ajit Singh Nagar,Urban,256342,Female
Name,166,3,53,DISTRICT,Sangrur,Rural,534551,Female
Name,167,3,53,DISTRICT,Sangrur,Urban,242589,Female
Name,169,3,54,DISTRICT,Barnala,Rural,189632,Female
Name,170,3,54,DISTRICT,Barnala,Urban,88373,Female
Name,172,4,0,STATE,CHANDIGARH,Rural,11841,Female
Name,173,4,0,STATE,CHANDIGARH,Urban,462946,Female
Name,175,4,55,DISTRICT,Chandigarh,Rural,11841,Female
Name,176,4,55,DISTRICT,Chandigarh,Urban,462946,Female
Name,178,5,0,STATE,UTTARAKHAND,Rural,3517912,Female
Name,179,5,0,STATE,UTTARAKHAND,Urban,1430607,Female
Name,181,5,56,DISTRICT,Uttarkashi,Rural,150406,Female
Name,182,5,56,DISTRICT,Uttarkashi,Urban,11083,Female
Name,184,5,57,DISTRICT,Chamoli,Rural,171840,Female
Name,185,5,57,DISTRICT,Chamoli,Urban,25774,Female
Name,187,5,58,DISTRICT,Rudraprayag,Rural,123620,Female
Name,188,5,58,DISTRICT,Rudraprayag,Urban,4076,Female
Name,190,5,59,DISTRICT,Tehri Garhwal,Rural,289411,Female
Name,191,5,59,DISTRICT,Tehri Garhwal,Urban,31534,Female
Name,193,5,60,DISTRICT,Dehradun,Rural,361862,Female
Name,194,5,60,DISTRICT,Dehradun,Urban,442633,Female
Name,196,5,61,DISTRICT,Garhwal,Rural,306539,Female
Name,197,5,61,DISTRICT,Garhwal,Urban,53903,Female
Name,199,5,62,DISTRICT,Pithoragarh,Rural,210904,Female
Name,200,5,62,DISTRICT,Pithoragarh,Urban,33229,Female
Name,202,5,63,DISTRICT,Bageshwar,Rural,131204,Female
Name,203,5,63,DISTRICT,Bageshwar,Urban,4368,Female
Name,205,5,64,DISTRICT,Almora,Rural,302833,Female
Name,206,5,64,DISTRICT,Almora,Urban,28592,Female
Name,208,5,65,DISTRICT,Champawat,Rural,110463,Female
Name,209,5,65,DISTRICT,Champawat,Urban,18060,Female
Name,211,5,66,DISTRICT,Nainital,Rural,283614,Female
Name,212,5,66,DISTRICT,Nainital,Urban,177325,Female
Name,214,5,67,DISTRICT,Udham Singh Nagar,Rural,511672,Female
Name,215,5,67,DISTRICT,Udham Singh Nagar,Urban,278447,Female
Name,217,5,68,DISTRICT,Hardwar,Rural,563544,Female
Name,218,5,68,DISTRICT,Hardwar,Urban,321583,Female
Name,220,6,0,STATE,HARYANA,Rural,7735353,Female
Name,221,6,0,STATE,HARYANA,Urban,4121375,Female
Name,223,6,69,DISTRICT,Panchkula,Rural,114910,Female
Name,224,6,69,DISTRICT,Panchkula,Urban,146704,Female
Name,226,6,70,DISTRICT,Ambala,Rural,295873,Female
Name,227,6,70,DISTRICT,Ambala,Urban,233774,Female
Name,229,6,71,DISTRICT,Yamunanagar,Rural,347419,Female
Name,230,6,71,DISTRICT,Yamunanagar,Urban,220068,Female
Name,232,6,72,DISTRICT,Kurukshetra,Rural,324410,Female
Name,233,6,72,DISTRICT,Kurukshetra,Urban,129269,Female
Name,235,6,73,DISTRICT,Kaithal,Rural,392362,Female
Name,236,6,73,DISTRICT,Kaithal,Urban,110939,Female
Name,238,6,74,DISTRICT,Karnal,Rural,493404,Female
Name,239,6,74,DISTRICT,Karnal,Urban,214208,Female
Name,241,6,75,DISTRICT,Panipat,Rural,300710,Female
Name,242,6,75,DISTRICT,Panipat,Urban,257870,Female
Name,244,6,76,DISTRICT,Sonipat,Rural,457887,Female
Name,245,6,76,DISTRICT,Sonipat,Urban,210815,Female
Name,247,6,77,DISTRICT,Jind,Rural,478050,Female
Name,248,6,77,DISTRICT,Jind,Urban,143096,Female
Name,250,6,78,DISTRICT,Fatehabad,Rural,361609,Female
Name,251,6,78,DISTRICT,Fatehabad,Urban,85042,Female
Name,253,6,79,DISTRICT,Sirsa,Rural,461764,Female
Name,254,6,79,DISTRICT,Sirsa,Urban,150843,Female
Name,256,6,80,DISTRICT,Hisar,Rural,556304,Female
Name,257,6,80,DISTRICT,Hisar,Urban,256065,Female
Name,259,6,81,DISTRICT,Bhiwani,Rural,616911,Female
Name,260,6,81,DISTRICT,Bhiwani,Urban,150862,Female
Name,262,6,82,DISTRICT,Rohtak,Rural,283006,Female
Name,263,6,82,DISTRICT,Rohtak,Urban,209719,Female
Name,265,6,83,DISTRICT,Jhajjar,Rural,330847,Female
Name,266,6,83,DISTRICT,Jhajjar,Urban,112891,Female
Name,268,6,84,DISTRICT,Mahendragarh,Rural,372875,Female
Name,269,6,84,DISTRICT,Mahendragarh,Urban,62548,Female
Name,271,6,85,DISTRICT,Rewari,Rural,317192,Female
Name,272,6,85,DISTRICT,Rewari,Urban,108805,Female
Name,274,6,86,DISTRICT,Gurgaon,Rural,220717,Female
Name,275,6,86,DISTRICT,Gurgaon,Urban,477025,Female
Name,277,6,87,DISTRICT,Mewat,Rural,459071,Female
Name,278,6,87,DISTRICT,Mewat,Urban,59030,Female
Name,280,6,88,DISTRICT,Faridabad,Rural,172775,Female
Name,281,6,88,DISTRICT,Faridabad,Urban,670848,Female
Name,283,6,89,DISTRICT,Palwal,Rural,377257,Female
Name,284,6,89,DISTRICT,Palwal,Urban,110954,Female
Name,286,7,0,STATE,NCT OF DELHI,Rural,192721,Female
Name,287,7,0,STATE,NCT OF DELHI,Urban,7607894,Female
Name,289,7,90,DISTRICT,North West,Rural,98270,Female
Name,290,7,90,DISTRICT,North West,Urban,1597347,Female
Name,292,7,91,DISTRICT,North,Rural,8200,Female
Name,293,7,91,DISTRICT,North,Urban,404776,Female
Name,295,7,92,DISTRICT,North East,Rural,9809,Female
Name,296,7,92,DISTRICT,North East,Urban,1043390,Female
Name,298,7,93,DISTRICT,East,Rural,1669,Female
Name,299,7,93,DISTRICT,East,Urban,800177,Female
Name,301,7,94,DISTRICT,New Delhi,Rural,0,Female
Name,302,7,94,DISTRICT,New Delhi,Urban,64062,Female
Name,304,7,95,DISTRICT,Central,Rural,0,Female
Name,305,7,95,DISTRICT,Central,Urban,274499,Female
Name,307,7,96,DISTRICT,West,Rural,3065,Female
Name,308,7,96,DISTRICT,West,Urban,1183938,Female
Name,310,7,97,DISTRICT,South West,Rural,66334,Female
Name,311,7,97,DISTRICT,South West,Urban,980578,Female
Name,313,7,98,DISTRICT,South,Rural,5374,Female
Name,314,7,98,DISTRICT,South,Urban,1259127,Female
Name,316,8,0,STATE,RAJASTHAN,Rural,24858605,Female
Name,317,8,0,STATE,RAJASTHAN,Urban,8138835,Female
Name,319,8,99,DISTRICT,Ganganagar,Rural,675467,Female
Name,320,8,99,DISTRICT,Ganganagar,Urban,250361,Female
Name,322,8,100,DISTRICT,Hanumangarh,Rural,677341,Female
Name,323,8,100,DISTRICT,Hanumangarh,Urban,166167,Female
Name,325,8,101,DISTRICT,Bikaner,Rural,742119,Female
Name,326,8,101,DISTRICT,Bikaner,Urban,381017,Female
Name,328,8,102,DISTRICT,Churu,Rural,708284,Female
Name,329,8,102,DISTRICT,Churu,Urban,279817,Female
Name,331,8,103,DISTRICT,Jhunjhunun,Rural,805248,Female
Name,332,8,103,DISTRICT,Jhunjhunun,Urban,235901,Female
Name,334,8,104,DISTRICT,Alwar,Rural,1430220,Female
Name,335,8,104,DISTRICT,Alwar,Urban,304933,Female
Name,337,8,105,DISTRICT,Bharatpur,Rural,960006,Female
Name,338,8,105,DISTRICT,Bharatpur,Urban,232730,Female
Name,340,8,106,DISTRICT,Dhaulpur,Rural,438136,Female
Name,341,8,106,DISTRICT,Dhaulpur,Urban,114733,Female
Name,343,8,107,DISTRICT,Karauli,Rural,571958,Female
Name,344,8,107,DISTRICT,Karauli,Urban,102651,Female
Name,346,8,108,DISTRICT,Sawai Madhopur,Rural,504492,Female
Name,347,8,108,DISTRICT,Sawai Madhopur,Urban,127028,Female
Name,349,8,109,DISTRICT,Dausa,Rural,680716,Female
Name,350,8,109,DISTRICT,Dausa,Urban,95906,Female
Name,352,8,110,DISTRICT,Jaipur,Rural,1511407,Female
Name,353,8,110,DISTRICT,Jaipur,Urban,1646264,Female
Name,355,8,111,DISTRICT,Sikar,Rural,995958,Female
Name,356,8,111,DISTRICT,Sikar,Urban,306385,Female
Name,358,8,112,DISTRICT,Nagaur,Rural,1301768,Female
Name,359,8,112,DISTRICT,Nagaur,Urban,309650,Female
Name,361,8,113,DISTRICT,Jodhpur,Rural,1162223,Female
Name,362,8,113,DISTRICT,Jodhpur,Urban,601014,Female
Name,364,8,114,DISTRICT,Jaisalmer,Rural,268447,Female
Name,365,8,114,DISTRICT,Jaisalmer,Urban,39764,Female
Name,367,8,115,DISTRICT,Barmer,Rural,1148665,Female
Name,368,8,115,DISTRICT,Barmer,Urban,86064,Female
Name,370,8,116,DISTRICT,Jalor,Rural,819356,Female
Name,371,8,116,DISTRICT,Jalor,Urban,72740,Female
Name,373,8,117,DISTRICT,Sirohi,Rural,403440,Female
Name,374,8,117,DISTRICT,Sirohi,Urban,98675,Female
Name,376,8,118,DISTRICT,Pali,Rural,790008,Female
Name,377,8,118,DISTRICT,Pali,Urban,222143,Female
Name,379,8,119,DISTRICT,Ajmer,Rural,758245,Female
Name,380,8,119,DISTRICT,Ajmer,Urban,500722,Female
Name,382,8,120,DISTRICT,Tonk,Rural,535558,Female
Name,383,8,120,DISTRICT,Tonk,Urban,157632,Female
Name,385,8,121,DISTRICT,Bundi,Rural,426471,Female
Name,386,8,121,DISTRICT,Bundi,Urban,107275,Female
Name,388,8,122,DISTRICT,Bhilwara,Rural,940491,Female
Name,389,8,122,DISTRICT,Bhilwara,Urban,247296,Female
Name,391,8,123,DISTRICT,Rajsamand,Rural,485817,Female
Name,392,8,123,DISTRICT,Rajsamand,Urban,89441,Female
Name,394,8,124,DISTRICT,Dungarpur,Rural,648763,Female
Name,395,8,124,DISTRICT,Dungarpur,Urban,43257,Female
Name,397,8,125,DISTRICT,Banswara,Rural,827097,Female
Name,398,8,125,DISTRICT,Banswara,Urban,62634,Female
Name,400,8,126,DISTRICT,Chittaurgarh,Rural,622659,Female
Name,401,8,126,DISTRICT,Chittaurgarh,Urban,138508,Female
Name,403,8,127,DISTRICT,Kota,Rural,373079,Female
Name,404,8,127,DISTRICT,Kota,Urban,556774,Female
Name,406,8,128,DISTRICT,Baran,Rural,466313,Female
Name,407,8,128,DISTRICT,Baran,Urban,122497,Female
Name,409,8,129,DISTRICT,Jhalawar,Rural,575305,Female
Name,410,8,129,DISTRICT,Jhalawar,Urban,110681,Female
Name,412,8,130,DISTRICT,Udaipur,Rural,1208678,Female
Name,413,8,130,DISTRICT,Udaipur,Urban,292941,Female
Name,415,8,131,DISTRICT,Pratapgarh,Rural,394870,Female
Name,416,8,131,DISTRICT,Pratapgarh,Urban,35234,Female
Name,418,9,0,STATE,UTTAR PRADESH,Rural,74324283,Female
Name,419,9,0,STATE,UTTAR PRADESH,Urban,21007548,Female
Name,421,9,132,DISTRICT,Saharanpur,Rural,1130053,Female
Name,422,9,132,DISTRICT,Saharanpur,Urban,502223,Female
Name,424,9,133,DISTRICT,Muzaffarnagar,Rural,1387196,Female
Name,425,9,133,DISTRICT,Muzaffarnagar,Urban,562882,Female
Name,427,9,134,DISTRICT,Bijnor,Rural,1318989,Female
Name,428,9,134,DISTRICT,Bijnor,Urban,442509,Female
Name,430,9,135,DISTRICT,Moradabad,Rural,1518361,Female
Name,431,9,135,DISTRICT,Moradabad,Urban,750459,Female
Name,433,9,136,DISTRICT,Rampur,Rural,830294,Female
Name,434,9,136,DISTRICT,Rampur,Urban,281636,Female
Name,436,9,137,DISTRICT,Jyotiba Phule Nagar,Rural,656969,Female
Name,437,9,137,DISTRICT,Jyotiba Phule Nagar,Urban,219803,Female
Name,439,9,138,DISTRICT,Meerut,Rural,789587,Female
Name,440,9,138,DISTRICT,Meerut,Urban,828359,Female
Name,442,9,139,DISTRICT,Baghpat,Rural,474216,Female
Name,443,9,139,DISTRICT,Baghpat,Urban,128762,Female
Name,445,9,140,DISTRICT,Ghaziabad,Rural,710876,Female
Name,446,9,140,DISTRICT,Ghaziabad,Urban,1481935,Female
Name,448,9,141,DISTRICT,Gautam Buddha Nagar,Rural,314201,Female
Name,449,9,141,DISTRICT,Gautam Buddha Nagar,Urban,443700,Female
Name,451,9,142,DISTRICT,Bulandshahr,Rural,1241252,Female
Name,452,9,142,DISTRICT,Bulandshahr,Urban,412659,Female
Name,454,9,143,DISTRICT,Aligarh,Rural,1147775,Female
Name,455,9,143,DISTRICT,Aligarh,Urban,574118,Female
Name,457,9,144,DISTRICT,Mahamaya Nagar,Rural,572201,Female
Name,458,9,144,DISTRICT,Mahamaya Nagar,Urban,156380,Female
Name,460,9,145,DISTRICT,Mathura,Rural,829163,Female
Name,461,9,145,DISTRICT,Mathura,Urban,350896,Female
Name,463,9,146,DISTRICT,Agra,Rural,1109418,Female
Name,464,9,146,DISTRICT,Agra,Urban,944426,Female
Name,466,9,147,DISTRICT,Firozabad,Rural,773115,Female
Name,467,9,147,DISTRICT,Firozabad,Urban,392995,Female
Name,469,9,148,DISTRICT,Mainpuri,Rural,737713,Female
Name,470,9,148,DISTRICT,Mainpuri,Urban,137439,Female
Name,472,9,149,DISTRICT,Budaun,Rural,1406925,Female
Name,473,9,149,DISTRICT,Budaun,Urban,307212,Female
Name,475,9,150,DISTRICT,Bareilly,Rural,1349594,Female
Name,476,9,150,DISTRICT,Bareilly,Urban,741100,Female
Name,478,9,151,DISTRICT,Pilibhit,Rural,792803,Female
Name,479,9,151,DISTRICT,Pilibhit,Urban,166202,Female
Name,481,9,152,DISTRICT,Shahjahanpur,Rural,1118732,Female
Name,482,9,152,DISTRICT,Shahjahanpur,Urban,281403,Female
Name,484,9,153,DISTRICT,Kheri,Rural,1679529,Female
Name,485,9,153,DISTRICT,Kheri,Urban,218527,Female
Name,487,9,154,DISTRICT,Sitapur,Rural,1855085,Female
Name,488,9,154,DISTRICT,Sitapur,Urban,253643,Female
Name,490,9,155,DISTRICT,Hardoi,Rural,1644892,Female
Name,491,9,155,DISTRICT,Hardoi,Urban,256511,Female
Name,493,9,156,DISTRICT,Unnao,Rural,1224824,Female
Name,494,9,156,DISTRICT,Unnao,Urban,253456,Female
Name,496,9,157,DISTRICT,Lucknow,Rural,737090,Female
Name,497,9,157,DISTRICT,Lucknow,Urban,1458272,Female
Name,499,9,158,DISTRICT,Rae Bareli,Rural,1505115,Female
Name,500,9,158,DISTRICT,Rae Bareli,Urban,147902,Female
Name,502,9,159,DISTRICT,Farrukhabad,Rural,683718,Female
Name,503,9,159,DISTRICT,Farrukhabad,Urban,195246,Female
Name,505,9,160,DISTRICT,Kannauj,Rural,641530,Female
Name,506,9,160,DISTRICT,Kannauj,Urban,133310,Female
Name,508,9,161,DISTRICT,Etawah,Rural,562771,Female
Name,509,9,161,DISTRICT,Etawah,Urban,173183,Female
Name,511,9,162,DISTRICT,Auraiya,Rural,528829,Female
